A_x,A_y,A_z,G_x,G_y,G_z,,A_vec,G_vec
0.144287109,-0.938232422,0.108154297,-5.77545166,-0.129699707,-3.768920898,0,,
0.144287109,-0.938232422,0.108154297,-5.77545166,-0.129699707,-3.768920898,0,,
0.144287109,-0.938232422,0.108154297,-5.77545166,-0.129699707,-3.768920898,0,,
0.144287109,-0.938232422,0.108154297,-5.77545166,-0.129699707,-3.768920898,0,,
0.144287109,-0.938232422,0.108154297,-5.77545166,-0.129699707,-3.768920898,0,,
0.160644531,-0.9921875,0.074707031,-4.035949707,3.112792969,-2.944946289,0,,
0.160644531,-0.9921875,0.074707031,-4.035949707,3.112792969,-2.944946289,0,,
0.160644531,-0.9921875,0.074707031,-4.035949707,3.112792969,-2.944946289,0,,
0.160644531,-0.9921875,0.074707031,-4.035949707,3.112792969,-2.944946289,0,,
0.131591797,-0.9609375,0.1015625,-6.034851074,1.190185547,-3.845214844,0,,
0.131591797,-0.9609375,0.1015625,-6.034851074,1.190185547,-3.845214844,0,,
0.131591797,-0.9609375,0.1015625,-6.034851074,1.190185547,-3.845214844,0,,
0.131591797,-0.9609375,0.1015625,-6.034851074,1.190185547,-3.845214844,0,,
0.131591797,-0.9609375,0.1015625,-6.034851074,1.190185547,-3.845214844,0,,
0.148193359,-0.989746094,0.043701172,-5.958557129,0.091552734,-5.11932373,0,,
0.148193359,-0.989746094,0.043701172,-5.958557129,0.091552734,-5.11932373,0,,
0.148193359,-0.989746094,0.043701172,-5.958557129,0.091552734,-5.11932373,0,,
0.148193359,-0.989746094,0.043701172,-5.958557129,0.091552734,-5.11932373,0,,
0.134521484,-0.984130859,0.08203125,-7.00378418,0.663757324,-5.249023438,0,,
0.134521484,-0.984130859,0.08203125,-7.00378418,0.663757324,-5.249023438,0,,
0.134521484,-0.984130859,0.08203125,-7.00378418,0.663757324,-5.249023438,0,,
0.134521484,-0.984130859,0.08203125,-7.00378418,0.663757324,-5.249023438,0,,
0.134521484,-0.984130859,0.08203125,-7.00378418,0.663757324,-5.249023438,0,,
0.177001953,-1.001464844,0.052246094,-8.529663086,-0.122070313,-4.013061523,0,,
0.177001953,-1.001464844,0.052246094,-8.529663086,-0.122070313,-4.013061523,0,,
0.177001953,-1.001464844,0.052246094,-8.529663086,-0.122070313,-4.013061523,0,,
0.177001953,-1.001464844,0.052246094,-8.529663086,-0.122070313,-4.013061523,0,,
0.174316406,-1.01171875,0.093505859,-6.729125977,0.999450684,-4.325866699,0,,
0.174316406,-1.01171875,0.093505859,-6.729125977,0.999450684,-4.325866699,0,,
0.174316406,-1.01171875,0.093505859,-6.729125977,0.999450684,-4.325866699,0,,
0.174316406,-1.01171875,0.093505859,-6.729125977,0.999450684,-4.325866699,0,,
0.123291016,-0.964599609,0.104248047,-7.469177246,1.579284668,-4.020690918,0,,
0.123291016,-0.964599609,0.104248047,-7.469177246,1.579284668,-4.020690918,0,,
